video_id,title,channel_title,published_at,view_count,like_count,comment_count,duration,category_id
iSciq2Kg-SY,Long Slide Game With Elephant Gorilla Buffalo Hippopotamus Tiger - 3d Animal Game - Funny 3d Animals,FunAnimationLive NumAnima,2026-01-03T11:23:53Z,495318,64459,1442,PT10M53S,24
kqE8ROuGOr4,भीड़ में | Tumsa Nahin Dekha A Love Story | Shreya Ghoshal | Udit Narayan Songs | Dia Mirza,Retro Romance Songs,2025-12-29T13:01:29Z,81741,132,0,PT6M6S,22
ab-ngiHI7_g,Jana Nayagan Trailer Reaction | Thalapathy Vijay | Parbrahm Singh,Parbrahm Singh,2026-01-03T15:18:00Z,68719,6455,341,PT4M39S,24
krGzXubLDSU,"Break 9,483,738 Bones to Win! 💀",Tyro Gaming,2026-01-01T14:28:00Z,1032928,7023,512,PT11M17S,20
vWqrNyfKlbw,"Tuition Badmashi Kaa - Hemant Faujdar, Kiran, Masoom Sharma, Manisha Sharma, Ajay Dhankhar, AmanJaji",Hp Music Live,2025-12-31T12:54:00Z,607851,2521,56,PT4M36S,10
jmqO7yNMv5U,Jana Nayagan Official Trailer Reaction Thalapathy Vijay Pooja Mamitha Baiju | Entertainment Kizhi,Entertainment Kizhi,2026-01-03T14:02:43Z,69710,5258,659,PT10M10S,22
TnIKftanQcM,"Blizzard Battlegrounds S1| Group Stage Day 2 |#GodLike,#IQOOSoul,#K9,#Og,#Gdr,#Tt,#4tr,#Madkings",GSG ESPORTS ,2026-01-03T15:26:51Z,428806,12206,26,PT5H30M8S,20
VyqPGcQgtEE,शनिवार के दिन अपने घर में ये सुंदरकाण्ड पाठचलाकर रख देनासभी दुःख दर्द सभी परेशानी जड़ से खत्म,Shri Hanuman Chalisa Trending ,2026-01-02T22:30:19Z,123572,1158,150,PT52M30S,10
8xrwSz2dnHk,Jana Nayagan - Tamil Trailer | Thalapathy vijay | H Vinoth | Jana Nayagan trailer review ,Tamil 360,2026-01-03T13:15:01Z,193152,7835,275,PT2M3S,24
aKjUWU5YMpQ,Franklin Entered Inside Spiderman Head & Mouth In Indian Bike Driving 3d,HandsomeGamer,2026-01-03T01:30:50Z,218679,0,16,PT12M19S,22
yymzn3w6Mdo,Psycho Saithan - Video Song | Mark | Kichcha Sudeepa | Vijay Kartikeyaa | Ajaneesh B Loknath,Saregama Kannada,2026-01-01T10:30:43Z,774369,20772,1283,PT3M3S,10
