video_id,title,channel_title,published_at,view_count,like_count,comment_count,duration,category_id,engagement_rate
9QBppIBhCqM,JANA NAYAGAN -Official Trailer [ Tamil ] |Vijay Thalapathy|Bobby Deol | H.Vinoth | New movie Trailer,"WHITE CHILLIES ENTERTAINMENT 


.",2026-01-02 11:44:26+00:00,730229,22375,226,PT1M36S,24,0.030950564822815857
OjrYt0twb1s,KYA YE SEASON LEGEND HOGA? | ULTIMATE ROYALE OR WHAT | BGMI LIVE,LoLzZz Gaming,2026-01-03 21:52:42+00:00,500290,25513,26,PT6H51S,20,0.051048391932679044
_1nYLqS7Dgw,Dekho Dekho Mujhe Chhod Na Dena | नए साल की सुपरहिट कव्वाली | देखो देखो मुझे छोड़ | Khwaja Qawwali,Shree Cassette Islamic,2026-01-03 00:00:50+00:00,187665,3805,190,PT11M15S,10,0.021287933285375538
JV28P4dzjLY,Jana Nayagan - Official Trailer : Decoding | Thalapathy Vijay | Hidden Details | Vinoth | Ani | KVN,MAAYAM STUDIOS,2026-01-03 16:25:48+00:00,177084,7964,766,PT26M35S,25,0.04929863793453954
0ttNImp0-Do,INDIA vs NEW ZEALAND 1ST ODI HIGHLIGHTS 2026 | INDIA vs NEW ZEALAND ODI 2026 | IND vs NZ | CRICKET,Cric Analysis TV,2026-01-02 08:15:24+00:00,1989218,0,0,PT13M51S,17,0.0
TFTnJzWRTJ8,"Naal Nachna | Dhurandhar | Ranveer Singh, Sara Arjun, Shashwat Sachdev, Afsana Khan, Reble, Irshad",Saregama Music,2025-12-31 10:30:08+00:00,3525503,44297,1018,PT2M6S,10,0.012853485020435382
eozmYcH3qsY,Jana Nayagan(JanNeta) Trailer REVIEW | HINDI |,Suraj Kumar,2026-01-03 15:39:42+00:00,154310,10234,1074,PT4M21S,24,0.07328105761130192
XPlvt71rDeY,WINTERGLOW SYLPH CRATE OPENING! | BGMI SCRIMS AND CLASSIC LIVE | ADMINO GAMING |,ADMINO Gaming,2026-01-03 20:11:33+00:00,523290,42183,43,PT5H43M2S,20,0.08069330581513119
REautu_HA0Q,1 Hour Nonstop मेरे तन में भी राम मेरे मन में भी राम Ram Naam Jap Powerful Ram Bhajan,Hamar Mai Records,2026-01-02 22:30:06+00:00,130967,1785,163,PT58M54S,10,0.014873975887055519
13pQrc4Q1kM,Jana Nayagan Trailer Reaction | #thalapathy #vijay #hvinoth #anirudh | Mr Earphones #jananayagan,Mr & Mrs Earphones BC_BotM,2026-01-03 14:44:39+00:00,102662,8780,213,PT12M21S,24,0.0875981375776821
qjJo6qwR4YQ,Using A Wishing Well To STEAL My Friends SECRETS in Minecraft!,Junkeyy,2026-01-02 13:10:43+00:00,764533,15647,922,PT19M7S,20,0.021672053397302667
